Source,Type,Target,Weight
1-ый Джентельмен,Undirected,2-й Джентельмен,1
1-ый Джентельмен,Undirected,3-й Джентельмен,1
1-ый Джентельмен,Undirected,Агацци,1
1-ый Джентельмен,Undirected,Амалия Агацци,1
1-ый Джентельмен,Undirected,Дворецкий,1
1-ый Джентельмен,Undirected,Дина,1
1-ый Джентельмен,Undirected,Ламберто Лаудизи,1
1-ый Джентельмен,Undirected,Леди в вуали,1
1-ый Джентельмен,Undirected,Префект,1
1-ый Джентельмен,Undirected,Сеньор Понца,1
1-ый Джентельмен,Undirected,Сеньора Ненни,1
1-ый Джентельмен,Undirected,Сеньора Сирелли,1
1-ый Джентельмен,Undirected,Сеньора Фрола,1
1-ый Джентельмен,Undirected,Сеньора Чинни,1
1-ый Джентельмен,Undirected,Сирелли,1
1-ый Джентельмен,Undirected,Чентури,1
2-й Джентельмен,Undirected,3-й Джентельмен,1
2-й Джентельмен,Undirected,Агацци,1
2-й Джентельмен,Undirected,Амалия Агацци,1
2-й Джентельмен,Undirected,Дворецкий,1
2-й Джентельмен,Undirected,Дина,1
2-й Джентельмен,Undirected,Ламберто Лаудизи,1
2-й Джентельмен,Undirected,Леди в вуали,1
2-й Джентельмен,Undirected,Префект,1
2-й Джентельмен,Undirected,Сеньор Понца,1
2-й Джентельмен,Undirected,Сеньора Ненни,1
2-й Джентельмен,Undirected,Сеньора Сирелли,1
2-й Джентельмен,Undirected,Сеньора Фрола,1
2-й Джентельмен,Undirected,Сеньора Чинни,1
2-й Джентельмен,Undirected,Сирелли,1
2-й Джентельмен,Undirected,Чентури,1
3-й Джентельмен,Undirected,Агацци,1
3-й Джентельмен,Undirected,Амалия Агацци,1
3-й Джентельмен,Undirected,Дворецкий,1
3-й Джентельмен,Undirected,Дина,1
3-й Джентельмен,Undirected,Ламберто Лаудизи,1
3-й Джентельмен,Undirected,Леди в вуали,1
3-й Джентельмен,Undirected,Префект,1
3-й Джентельмен,Undirected,Сеньор Понца,1
3-й Джентельмен,Undirected,Сеньора Ненни,1
3-й Джентельмен,Undirected,Сеньора Сирелли,1
3-й Джентельмен,Undirected,Сеньора Фрола,1
3-й Джентельмен,Undirected,Сеньора Чинни,1
3-й Джентельмен,Undirected,Сирелли,1
3-й Джентельмен,Undirected,Чентури,1
Агацци,Undirected,Амалия Агацци,3
Агацци,Undirected,Дворецкий,3
Агацци,Undirected,Дина,3
Агацци,Undirected,Ламберто Лаудизи,3
Агацци,Undirected,Леди в вуали,1
Агацци,Undirected,Префект,1
Агацци,Undirected,Сеньор Понца,2
Агацци,Undirected,Сеньора Ненни,2
Агацци,Undirected,Сеньора Сирелли,3
Агацци,Undirected,Сеньора Фрола,2
Агацци,Undirected,Сеньора Чинни,2
Агацци,Undirected,Сирелли,3
Агацци,Undirected,Чентури,1
Амалия Агацци,Undirected,Дворецкий,3
Амалия Агацци,Undirected,Дина,3
Амалия Агацци,Undirected,Ламберто Лаудизи,3
Амалия Агацци,Undirected,Леди в вуали,1
Амалия Агацци,Undirected,Префект,1
Амалия Агацци,Undirected,Сеньор Понца,2
Амалия Агацци,Undirected,Сеньора Ненни,2
Амалия Агацци,Undirected,Сеньора Сирелли,3
Амалия Агацци,Undirected,Сеньора Фрола,2
Амалия Агацци,Undirected,Сеньора Чинни,2
Амалия Агацци,Undirected,Сирелли,3
Амалия Агацци,Undirected,Чентури,1
Дворецкий,Undirected,Дина,3
Дворецкий,Undirected,Ламберто Лаудизи,3
Дворецкий,Undirected,Леди в вуали,1
Дворецкий,Undirected,Префект,1
Дворецкий,Undirected,Сеньор Понца,2
Дворецкий,Undirected,Сеньора Ненни,2
Дворецкий,Undirected,Сеньора Сирелли,3
Дворецкий,Undirected,Сеньора Фрола,2
Дворецкий,Undirected,Сеньора Чинни,2
Дворецкий,Undirected,Сирелли,3
Дворецкий,Undirected,Чентури,1
Дина,Undirected,Ламберто Лаудизи,3
Дина,Undirected,Леди в вуали,1
Дина,Undirected,Префект,1
Дина,Undirected,Сеньор Понца,2
Дина,Undirected,Сеньора Ненни,2
Дина,Undirected,Сеньора Сирелли,3
Дина,Undirected,Сеньора Фрола,2
Дина,Undirected,Сеньора Чинни,2
Дина,Undirected,Сирелли,3
Дина,Undirected,Чентури,1
Ламберто Лаудизи,Undirected,Леди в вуали,1
Ламберто Лаудизи,Undirected,Префект,1
Ламберто Лаудизи,Undirected,Сеньор Понца,2
Ламберто Лаудизи,Undirected,Сеньора Ненни,2
Ламберто Лаудизи,Undirected,Сеньора Сирелли,3
Ламберто Лаудизи,Undirected,Сеньора Фрола,2
Ламберто Лаудизи,Undirected,Сеньора Чинни,2
Ламберто Лаудизи,Undirected,Сирелли,3
Ламберто Лаудизи,Undirected,Чентури,1
Леди в вуали,Undirected,Префект,1
Леди в вуали,Undirected,Сеньор Понца,1
